"","date","gold","returns"
"124",1968-09-26,40.45,0.000618238041330432
"125",1968-09-27,40.3,-0.00371517455186376
"126",1968-09-30,39.7,-0.0150002812594923
"127",1968-10-01,39.6,-0.00252206943271016
"128",1968-10-02,38.3,-0.0333792220738345
"129",1968-10-03,39,0.0181117499430461
"130",1968-10-04,38.9,-0.00256739550524587
"131",1968-10-07,39.8,0.0228726616659913
"132",1968-10-08,39.75,-0.00125707119005103
"133",1968-10-09,39.2,-0.013933094303924
"134",1968-10-10,38.825,-0.00961237776166612
"135",1968-10-11,39.2,0.00961237776166612
"136",1968-10-14,39.3,0.00254777207879853
"137",1968-10-15,39.2,-0.00254777207879853
"138",1968-10-16,38.95,-0.0063979744796594
"139",1968-10-17,39.2,0.0063979744796594
"140",1968-10-18,39.4,0.00508906950747123
"141",1968-10-21,39.1,-0.00764334931256805
"142",1968-10-22,38.95,-0.00384369467456258
"143",1968-10-23,39.175,0.00576001592532727
"144",1968-10-24,39.2,0.00063795855433213
"145",1968-10-25,39.3,0.00254777207879853
"146",1968-10-28,39.375,0.00190657827058205
"147",1968-10-29,39.6,0.00569802111463735
"148",1968-10-30,39.3,-0.0076045993852194
"149",1968-10-31,39.2,-0.00254777207879853
"150",1968-11-01,38.9,-0.00768249617201633
"151",1968-11-04,39.25,0.00895719360401692
"152",1968-11-05,39.325,0.00190900471592403
"153",1968-11-06,39.5,0.00444022296273472
"154",1968-11-07,39.525,0.000632711188459645
"155",1968-11-08,39.4,-0.00316756679164776
"156",1968-11-11,39.5,0.00253485560318811
"157",1968-11-12,39.725,0.00568004051570359
"158",1968-11-13,39.75,0.000629128677561042
"159",1968-11-14,39.75,0
"160",1968-11-15,40,0.00626961301359552
"161",1968-11-18,40,0
"162",1968-11-19,40.05,0.0012492194004321
"163",1968-11-20,40.75,0.0173271661725032
"164",1968-11-21,40.25,-0.0123458358222992
"165",1968-11-22,40.2,-0.00124300823959667
"166",1968-11-25,40.3,0.00248447332766144
"167",1968-11-26,40.075,-0.0055987704570204
"168",1968-11-27,39.75,-0.00814285739527598
"169",1968-11-28,39.85,0.00251256413588319
"170",1968-11-29,39.85,0
"171",1968-12-02,39.9,0.0012539186595939
"172",1968-12-03,40.15,0.00624611649695295
"173",1968-12-04,40.775,0.0154467081143066
"174",1968-12-05,40.45,-0.00800250500257649
"175",1968-12-06,40.35,-0.00247524878854311
"176",1968-12-09,40.625,0.00679224593394379
"177",1968-12-10,40.675,0.00123001245520005
"178",1968-12-11,40.75,0.00184218658176993
"179",1968-12-12,41.3,0.0134066602801153
"180",1968-12-13,40.9,-0.009732436918231
"181",1968-12-16,40.975,0.0018320615811378
"182",1968-12-17,41.2,0.00547613172558714
"183",1968-12-18,41.825,0.015055990517407
"184",1968-12-19,41.675,-0.0035928182360303
"185",1968-12-20,41.65,-0.0006000600240057
"186",1968-12-23,41.7,0.00119976019190426
"187",1968-12-24,41.7,0
"188",1968-12-27,41.7,0
"189",1968-12-30,42,0.00716848947861237
"190",1968-12-31,41.95,-0.00119118537015295
"191",1969-01-02,41.8,-0.00358209338250504
"192",1969-01-03,41.9,0.00238948739738154
"193",1969-01-06,42.025,0.00297885236658724
"194",1969-01-07,42.1,0.00178306139365647
"195",1969-01-08,42.45,0.00827917206902073
"196",1969-01-09,42.475,0.000588754800639357
"197",1969-01-10,42.3,-0.00412858150576367
"198",1969-01-13,42,-0.00711746776886368
"199",1969-01-14,42.4,0.00947874395454384
"200",1969-01-15,42.75,0.00822083314485678
"201",1969-01-16,42.7,-0.00117027514819013
"202",1969-01-17,41.9,-0.0189130933064869
"203",1969-01-20,42.2,0.00713439411387418
"204",1969-01-21,42.4,0.00472814119594611
"205",1969-01-22,42.6,0.0047058910374127
"206",1969-01-23,42.2,-0.00943403223335881
"207",1969-01-24,42,-0.00475060275859773
"208",1969-01-27,42.2,0.00475060275859773
"209",1969-01-28,42.45,0.00590669171539027
"210",1969-01-29,42.45,0
"211",1969-01-30,42.55,0.00235294226202676
"212",1969-01-31,42.55,0
"213",1969-02-03,42.5,-0.0011757790890119
"214",1969-02-04,42.475,-0.000588408372375504
"215",1969-02-05,42.7,0.00528325267658314
"216",1969-02-06,42.625,-0.00175798463089816
"217",1969-02-07,42.55,-0.00176108058429758
"218",1969-02-10,42.55,0
"219",1969-02-11,42.525,-0.000587716737457722
"220",1969-02-12,42.6,0.00176211499339951
"221",1969-02-13,42.55,-0.00117439825594179
"222",1969-02-14,42.5,-0.0011757790890119
"223",1969-02-17,42.65,0.00352319800731671
"224",1969-02-18,42.625,-0.00058633833400723
"225",1969-02-19,42.65,0.00058633833400723
"226",1969-02-20,42.6,-0.00117302066236302
"227",1969-02-21,42.625,0.000586682328355792
"228",1969-02-24,42.7,0.00175798463089816
"229",1969-02-25,42.675,-0.000585651554074751
"230",1969-02-26,42.7,0.000585651554074751
"231",1969-02-27,42.75,0.00117027514819013
"232",1969-02-28,42.775,0.00058462439548812
"233",1969-03-03,42.75,-0.00058462439548812
"234",1969-03-04,42.75,0
"235",1969-03-05,42.9,0.00350263055120204
"236",1969-03-06,43.25,0.00812540744391743
"237",1969-03-07,43.6,0.00805991697710029
"238",1969-03-10,43.75,0.00343446244863443
"239",1969-03-11,43.3,-0.010338977795179
"240",1969-03-12,43.025,-0.00637129291084104
"241",1969-03-13,43.15,0.00290107543183371
"242",1969-03-14,43,-0.0034823018358745
"243",1969-03-17,43.025,0.000581226404040791
"244",1969-03-18,42.85,-0.0040756970538145
"245",1969-03-19,43.075,0.0052371373702047
"246",1969-03-20,43.125,0.00116009293753061
"247",1969-03-21,43.175,0.00115874868121812
"248",1969-03-24,43.25,0.00173560934514638
"249",1969-03-25,43.4,0.00346220772847072
"250",1969-03-26,43.35,-0.00115273787980819
"251",1969-03-27,43.475,0.00287935701379594
"252",1969-03-28,43.3,-0.00403342523190275
"253",1969-03-31,43.1,-0.00462963789874227
"254",1969-04-01,43.1,0
"255",1969-04-02,43.3,0.00462963789874227
"256",1969-04-03,43.35,0.00115406821810682
"257",1969-04-08,43.35,0
"258",1969-04-09,43.375,0.000576535040472059
"259",1969-04-10,43.4,0.000576202839336126
"260",1969-04-11,43.35,-0.00115273787980819
"261",1969-04-14,43.275,-0.00173160216427792
"262",1969-04-15,42.9,-0.00870327512830205
"263",1969-04-16,43.075,0.00407095648002231
"264",1969-04-17,43.225,0.00347624915536082
"265",1969-04-18,43.2,-0.000578536319289391
"266",1969-04-21,43.2,0
"267",1969-04-22,43.175,-0.000578871217322696
"268",1969-04-23,43.4,0.00519781707361711
"269",1969-04-24,43.275,-0.00288434004408611
"270",1969-04-25,43.25,-0.000577867684384614
"271",1969-04-28,43.55,0.00691246992062311
"272",1969-04-29,43.55,0
"273",1969-04-30,43.6,0.00114744705647718
"274",1969-05-01,43.6,0
"275",1969-05-02,43.6,0
"276",1969-05-05,43.475,-0.00287109011464182
"277",1969-05-06,43.4,-0.00172661913398775
"278",1969-05-07,43.475,0.00172661913398775
"279",1969-05-08,43.65,0.00401722204526411
"280",1969-05-09,43.6,-0.0011461319306223
"281",1969-05-12,43.45,-0.00344629864358748
"282",1969-05-13,43.5,0.00115008638323699
"283",1969-05-14,43.5,0
"284",1969-05-15,43.5,0
"285",1969-05-16,43.5,0
"286",1969-05-19,43.475,-0.000574877854291334
"287",1969-05-20,43.45,-0.000575208528945659
"288",1969-05-21,43.425,-0.000575539584232843
"289",1969-05-22,43.45,0.000575539584232843
"290",1969-05-23,43.5,0.00115008638323699
"291",1969-05-27,43.5,0
"292",1969-05-28,43.4,-0.00230149698827908
"293",1969-05-29,43.075,-0.00751665869236584
"294",1969-05-30,43.15,0.00173963511544351
"295",1969-06-02,42.95,-0.00464576909917236
"296",1969-06-03,42.15,-0.0188019639824
"297",1969-06-04,42.075,-0.00178094437099485
"298",1969-06-05,41.1,-0.0234456185746805
"299",1969-06-06,40.75,-0.00855228181531764
"300",1969-06-09,40.7,-0.00122774723832197
"301",1969-06-10,41.975,0.0308461105150548
"302",1969-06-11,41.8,-0.00417786343289395
"303",1969-06-12,41.55,-0.00599881822925319
"304",1969-06-13,41.55,0
"305",1969-06-16,41.25,-0.0072464085207673
"306",1969-06-17,41.5,0.00604231445596248
"307",1969-06-18,41.4,-0.00241254640538369
"308",1969-06-19,41.45,0.0012070007500351
"309",1969-06-20,41.45,0
"310",1969-06-23,41.225,-0.00544301313564111
"311",1969-06-24,41.2,-0.000606612090181979
"312",1969-06-25,40.9,-0.00730819330672494
"313",1969-06-26,40.975,0.0018320615811378
"314",1969-06-27,41.1,0.00304599687229556
"315",1969-06-30,41.225,0.00303674694347356
"316",1969-07-01,41.1,-0.00303674694347356
"317",1969-07-02,41.25,0.00364299127850076
"318",1969-07-03,41.51,0.0062832492842575
"319",1969-07-04,41.5,-0.000240934828295014
"320",1969-07-07,41.76,0.00624551633773063
"321",1969-07-08,42.1,0.00810879711395263
"322",1969-07-09,41.9,-0.00476191376024371
"323",1969-07-10,41.9,0
"324",1969-07-11,41.9,0
"325",1969-07-14,41.95,0.0011926059851235
"326",1969-07-15,42,0.00119118537015295
"327",1969-07-16,41.9,-0.00238379135527644
"328",1969-07-17,41.975,0.00178837603551241
"329",1969-07-18,41.9,-0.00178837603551241
"330",1969-07-21,42,0.00238379135527644
"331",1969-07-22,41.95,-0.00119118537015295
"332",1969-07-23,41.875,-0.00178944276798498
"333",1969-07-24,41.9,0.000596836782861487
"334",1969-07-25,41.85,-0.00119402999260743
"335",1969-07-28,41.72,-0.0031111668029129
"336",1969-07-29,41.49,-0.00552819578779484
"337",1969-07-30,41.49,0
"338",1969-07-31,41.45,-0.000964552763472959
"339",1969-08-01,41.39,-0.0014485758206626
"340",1969-08-04,41.4,0.000241575070627498
"341",1969-08-05,41.15,-0.00605695370818982
"342",1969-08-06,41.1,-0.00121580562088974
"343",1969-08-07,41.025,-0.00182648452603473
"344",1969-08-08,41.15,0.00304229014692448
"345",1969-08-11,41.45,0.00726395445822492
"346",1969-08-12,41.2,-0.00604962522582309
"347",1969-08-13,41.1,-0.00243013485329158
"348",1969-08-14,41.375,0.00666871219503795
"349",1969-08-15,41.1,-0.00666871219503795
"350",1969-08-18,41.2,0.00243013485329158
"351",1969-08-19,41.125,-0.00182204726994462
"352",1969-08-20,41.1,-0.000608087583346961
"353",1969-08-21,41.075,-0.000608457578857191
"354",1969-08-22,41.05,-0.000608828024895036
"355",1969-08-25,41,-0.001218769194129
"356",1969-08-26,40.9,-0.00244200365555214
"357",1969-08-27,40.9,0
"358",1969-08-28,40.95,0.00122174725032265
"359",1969-08-29,40.95,0
"360",1969-09-02,40.79,-0.00391485696961125
"361",1969-09-03,40.775,-0.00036780482238985
"362",1969-09-04,40.89,0.00281638586947341
"363",1969-09-05,40.9,0.000244528672205035
"364",1969-09-08,40.9,0
"365",1969-09-09,40.9,0
"366",1969-09-10,40.975,0.0018320615811378
"367",1969-09-11,40.925,-0.00122100137269499
"368",1969-09-12,40.95,0.000610687041879832
"369",1969-09-15,41,0.00122025640522949
"370",1969-09-16,41,0
"371",1969-09-17,41,0
"372",1969-09-18,40.875,-0.00305343748689069
"373",1969-09-19,40.85,-0.000611807911405471
"374",1969-09-22,40.875,0.000611807911405471
"375",1969-09-23,40.8,-0.00183654780730125
"376",1969-09-24,40.85,0.00122473989589578
"377",1969-09-25,40.85,0
"378",1969-09-26,40.75,-0.00245098161914026
"379",1969-09-29,40.65,-0.0024570036930518
"380",1969-09-30,40.65,0
"381",1969-10-01,40.75,0.0024570036930518
